"Archetype","Description"
"Columbo","A deceptively rumpled but razor-sharp detective who uses strategic disorganization to disarm suspects and uncover truth."
"The Fraudster","A manipulative, malicious criminal who weaponizes chaos, charm, and lies to exploit and control victims."
"The Survivor","A desperate, chaotic huckster salesman who uses disorganization as a survival mechanism to feed his family."
"Category Number","Category Name","Scenario Description","Columbo Response","Fraudster Response","Survivor Response"
"1","Reaction Under Direct Accusation","When accused of wrongdoing","Plays confused while gathering intel.","Feigns outrage to flip the emotional script.","Panics politely and tries to make it right."
"2","When Cornered With Evidence","Presented with damning evidence","Pretends it's trivial, then asks the fatal question.","Claims evidence is fake or planted.","Bargains and tries to fix things."
"3","Extracting Information","When they need info from someone","Uses rambling stories to coax oversharing.","Uses sympathy or intimidation.","Uses flattery and desperation."
"4","Exiting a Conversation","When they want to leave","Leaves then returns with the kill-shot question.","Leaves abruptly after planting a lie.","Won’t leave until he makes some sale."
"5","Messiness Called Out","When someone comments on their disorganization","Uses humility to disarm.","Deflects as 'creative chaos.'","Frames it as the cost of hustling."
"6","Gaining Trust Quickly","When they need trust fast","Appears harmless and bumbling.","Mirrors emotions to manipulate.","Overshares personal struggles."
"7","Observing a Lie","Watching someone lie","Encourages liar to keep talking.","Learns structure to exploit later.","Adapts story to avoid trouble."
"8","Stalling for Time","When they need to stall","Pretends to lose something.","Creates a fake emergency.","Launches into emotional anecdotes."
"9","Trying to Impress","When they want to look competent","Downplays intelligence.","Inflates achievements.","Shows off small wins."
"10","True Self Alone","When no one is watching","Sharp and methodical.","Paranoid and calculating.","Exhausted and worried."
"11","Handling Success","After a win","Downplays it.","Becomes arrogant and sloppy.","Celebrates then worries again."
"12","Handling Failure","After a setback","Treats it as a clue.","Blames others and doubles down.","Panics then improvises."
"13","Treating Allies","Toward allies","Respectful and patient.","Uses them as tools.","Loyal but unreliable."
"14","Treating Enemies","Toward adversaries","Polite but relentless.","Vindictive and manipulative.","Avoids conflict, tries to charm."
"15","Crisis Behavior","During chaos","Calm and observant.","Panics internally, lashes out.","Scrambles and improvises."
"16","Lying Style","How they lie","Lies by omission.","Bold, layered lies.","Clumsy but emotional lies."
"17","Reacting to Kindness","When someone is kind","Becomes gentler.","Exploits kindness.","Gets emotional and grateful."
"18","Feeling Ahead","When they think they're winning","Acts even more bumbling.","Gets cocky and careless.","Relaxes too early."
"19","Being Observed","When watched closely","Acts oblivious.","Performs theatrically.","Gets nervous and tries to impress."
"20","Being Ignored","When dismissed","Uses invisibility to gather intel.","Becomes enraged.","Tries harder to win attention."
"21","Facing Authority","When dealing with authority","Plays deferential.","Challenges or manipulates.","Grovels and flatters."
"22","Someone Crying","When someone cries","Comforts gently.","Uses moment for leverage.","Panics and tries to fix it."
"23","Someone Angry","Facing anger","Apologizes and waits it out.","Escalates or redirects.","Soothes or distracts."
"24","Facing a Smart Person","When someone is smarter","Acts even dumber.","Competes and lies harder.","Charms or appeals emotionally."
"25","Facing Vulnerability","When someone is vulnerable","Protects them.","Exploits them.","Helps but may worsen things."
